type,name,notice,furigana
燃えない,携帯ゲーム機,,け
燃えない,携帯用発電機,,け
燃える,毛糸,,け
燃えない,計量カップ（金属・プラスチック製）,,け
燃えない,ケース類,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,け
特殊・硬質,ケーブル,,け
燃えない,ゲームソフト,,け
燃える,消しゴム,,け
燃えない,化粧品容器（コンパクト）,中身を使い切る,け
燃えない,化粧品容器（除光液ビン）,中身を使い切る,け
燃えない,化粧品容器（乳液・化粧水ビン）,中身を使い切る,け
燃えない,化粧品容器（マニキュア）,中身を使い切る,け
燃える,毛染め容器（プラスチック）,中身を使い切る,け
燃えない,血圧計,コードは切って「硬質ごみ」へ,け
燃えない,ケトル（やかん）,,け
燃えない,毛抜き,,け
燃える,けん引ロープ（ワイヤー以外）,長さ１ｍ以下のもの又はその寸法に切ったもの,け
特殊・硬質,けん引ロープ（ワイヤー）,,け
燃える,玄関マット,４０㎝角以下のもの又はその寸法に切ったもの,け
燃えない,健康器具（足踏み健康器具）,,け
特殊・硬質,剣山,,け
燃える,研磨剤容器（紙製・プラスチック製）,中身を使い切る,こ
燃えない,研磨剤容器（その他）,中身を使い切る,こ
燃えない,碁石,,こ
燃える,鯉のぼり,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃えない,工具箱（金属・プラスチック製）,,こ
特殊・硬質,工具類（斧）,,こ
特殊・硬質,工具類（カナヅチ・ハンマー）,,こ
燃えない,工具類（カンナ）,,こ
燃えない,工具類（キリ）,,こ
特殊・硬質,工具類（釘抜き・バール）,,こ
燃えない,工具類（スパナ）,,こ
燃えない,工具類（ドライバー）,,こ
特殊・硬質,工具類（ナタ）,,こ
燃えない,工具類（ニッパー）,,こ
燃えない,工具類（ノギス）,,こ
燃えない,工具類（ノコギリ）,,こ
燃えない,工具類（ノミ）,,こ
燃えない,工具類（プライヤー）,,こ
燃えない,工具類（ペンチ）,,こ
燃えない,工具類（モンキー）,,こ
燃えない,工具類（ヤスリ）,,こ
燃えない,工具類（レンチ）,,こ
燃える,口中清涼剤容器,中身を使い切る,こ
燃えない,コーキングガン,,こ
燃える,コーキング剤容器,中身を使い切る,こ
燃える,ゴーグル,,こ
燃える,コート,,こ
特殊・硬質,コード,,こ
特殊・硬質,コードリール,,こ
燃えない,コーヒーメーカー,コードは切って「硬質ごみ」へ,こ
燃えない,氷割り（アイスピック）,,こ
燃える,黒板消し,,こ
燃える,固形燃料,,こ
燃える,固形のり,,こ
燃える,ござ,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃えない,こし器,,こ
燃えない,コショウ入れ,,こ
燃える,コットン,,こ
燃えない,コップ,,こ
燃えない,コップ洗い（ブラシ）,,こ
燃えない,コップ掛け,,こ
燃えない,コッヘル（キャンプ用食器）,,こ
燃えない,コネクタ,コードは切って「硬質ごみ」へ,こ
燃える,碁盤（木製）,厚さ８㎝以下のもの,こ
古紙・古衣類,コミック雑誌,（その他の紙）,こ
燃える,ごみ取りネット,,こ
燃えない,ごみ取りネット（金アミ製）,,こ
燃える,ごみ箱（木製）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃えない,ごみ箱（木製以外）,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃える,ゴム,,こ
燃える,ゴムパイプ,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃える,ゴムひも,,こ
燃える,ゴムホース,長さ１ｍ以下のもの又はその寸法に切ったもの,こ
燃える,ゴムボート,空気を抜いて,こ
燃える,ゴムマット,４０㎝角以下のもの又はその寸法に切ったもの,こ
燃える,ゴム手袋,,こ
燃えない,米びつ,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃える,コルク,,こ
燃えない,コルク抜き,,こ
燃える,コルクボード,４０㎝角以下のもの又はその寸法に切ったもの,こ
特殊・硬質,ゴルフクラブ,,こ
特殊・硬質,コンクリートブロック,少量に限る,こ
燃えない,混合栓,,こ
燃えない,コンセント,コードは切って「硬質ごみ」へ,こ
燃える,コンタクトレンズ,,こ
燃えない,コンテナ,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,こ
燃える,コンドーム,,こ
燃える,コンパウンド容器（プラスチック製）,中身を使い切る,こ
燃えない,コンパウンド容器（プラスチック製以外）,中身を使い切る,こ
燃えない,コンパス,,こ
燃えない,コンベックス,,こ
燃えない,コンポ,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,こ
燃える,梱包用発泡スチロール,,こ
燃えない,コンロ,,こ
燃える,座イス（木・竹製）,,さ
燃えない,座イス（木・竹製以外）,,さ
燃える,財布,,さ
燃える,材木（建築廃材は除く）,長さ４０㎝厚さ８㎝以下のもの又はその寸法に切ったもの,さ
燃える,杯（木製）,,さ
燃えない,杯（その他）,,さ
燃える,作業服,,さ
燃える,酒パック,,さ
古紙・古衣類,雑誌,（その他の紙）,さ
燃える,殺虫剤容器（プラスチック製）,中身を使い切る,さ
燃える,ざぶとん,４０㎝角以下のもの又はその寸法に切ったもの,さ
燃える,サポーター,,さ
燃えない,皿（紙皿以外）,,さ
燃える,サラダオイル容器（缶以外）,中身を使い切る,さ
燃えない,ザル（金属・プラスチック製）,,さ
燃える,ザル（金属・プラスチック製以外）,,さ
燃えない,三角コーナー,,さ
燃えない,三脚,,さ
燃えない,サングラス,,さ
燃える,サンダル,,さ
燃える,サンドペーパー,,さ
燃えない,三輪車（子供用）,,さ
燃えない,ＣＳアンテナ,コードは切って「硬質ごみ」へ,し
燃えない,ＣＳチューナー,コードは切って「硬質ごみ」へ,し
燃える,シーツ,長さ１ｍ以下のもの又はその寸法に切ったもの,し
燃えない,ＣＤ,,し
燃えない,ＣＤプレーヤー,コードは切って「硬質ごみ」へ,し
燃える,シートカバー,長さ１ｍ以下のもの又はその寸法に切ったもの,し
燃える,ジーンズ,,し
燃えない,シェーバー,,し
燃える,紙管,少量に限る,し
燃える,磁気カード,,し
燃えない,磁石,,し
古紙・古衣類,辞書,（その他の紙）,し
燃える,下着,,し
燃えない,七輪,,し
燃えない,湿度計,,し
燃えない,室内アンテナ,コードは切って「硬質ごみ」へ,し
燃える,湿布,,し
古紙・古衣類,辞典,（その他の紙）,し
燃える,竹刀,長さ４０㎝以下に切ったもの,し
燃える,芝,少量に限る,し
特殊・硬質,芝刈機替え刃,,し
燃える,ジャージ,,し
燃えない,シャープペンシル,,し
燃えない,蛇口,,し
燃える,尺八,,し
燃える,ジャケット,,し
燃える,写真,,し
燃える,写真のネガ,,し
燃える,写真フィルムのケース,,し
燃える,シャツ,,し
特殊・硬質,ジャッキ,,し
燃える,シャトル（バドミントンの羽）,,し
燃えない,シャベル,,し
燃える,三味線,,し
燃える,しゃもじ（木製）,,し
燃えない,しゃもじ（木製以外）,,し
燃えない,ジャングルジム（子供用遊具）,解体して,し
燃えない,シャンデリア,,し
燃える,ジャンパー,,し
燃える,シャンプー容器,中身を使い切る,し
燃えない,ジューサー,,し
燃える,修正液容器（ビン以外）,中身を使い切る,し
燃える,住宅用洗剤容器,中身を使い切る,し
燃える,じゅうたん,４０㎝角以下のもの又はその寸法に切ったもの,し
燃えない,充電器,コードは切って「硬質ごみ」へ,し
燃える,柔軟剤容器,中身を使い切る,し
燃える,重箱（木製）,,し
燃えない,重箱（木製以外）,,し
燃える,数珠（じゅず木製）,,し
燃えない,数珠（じゅず木製以外）,,し
燃える,シュレッダーくず（紙）,中身が見える袋で,し
燃える,背負子（木・竹製）,,し
燃えない,背負子（木・竹製以外）,,し
燃える,定規（木・竹製）,,し
燃えない,定規（木・竹製以外）,,し
燃える,将棋盤（木製　厚さ８ｃｍ以下）,,し
特殊・硬質,将棋盤（木製　厚さ８ｃｍ超）,,し
燃えない,将棋盤（木製以外）,,し
燃える,障子,４０㎝角以下のもの又はその寸法に切ったもの,し
燃える,消臭剤容器,,し
燃えない,浄水器,,し
燃えない,錠前,,し
燃えない,照明器具,蛍光管は取り外して コードは切って「硬質ごみ」へ　縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,し
燃えない,照明スタンド,蛍光管は取り外して コードは切って「硬質ごみ」へ　縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のも,し
燃えない,ジョウロ,,し
燃える,食用油容器（缶以外）,中身を使い切る,し
燃える,除湿剤,,し
燃える,除草剤容器,中身を使い切る,し
燃えない,食器乾燥機,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,し
燃えない,食器ケース,,し
燃える,人工芝,４０㎝角以下のもの又はその寸法に切ったもの,し
古紙・古衣類,新聞紙,（新聞紙）チラシは（その他の紙）へ,し
燃える,甚平,,し
燃えない,水温計,水銀式は「特殊ごみ」へ,す
燃える,炊事手袋,,す
燃えない,水槽,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,す
燃えない,水槽用石、砂,,す
燃えない,水槽用ポンプ,コードは切って「硬質ごみ」へ,す
燃えない,水中メガネ,,す
燃えない,スイッチ類,,す
燃えない,水筒,,す
燃えない,水道管（塩ビ製）,少量に限る　長さ１ｍ以下のもの又はその寸法に切ったもの,す
特殊・硬質,水道管（金属製）,少量に限る　長さ１ｍ以下のもの又はその寸法に切ったもの,す
燃えない,炊飯器,コードは切って「硬質ごみ」へ,す
燃えない,水平器,,す
燃えない,スーツケース,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,す
燃える,スカート,,す
燃える,スカーフ,,す
古紙・古衣類,図鑑,（その他の紙）,す
燃えない,スキー板,長さが１ｍ以下のもの,す
燃える,スキーウェア,,す
燃えない,スキーキャリア,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,す
燃える,スキーケース,金具は取り外して「燃やせないごみ」へ,す
燃えない,スキーストック,,す
燃えない,スキーブーツ,,す
燃える,すき間テープ,,す
燃えない,スケート靴,,す
燃えない,スケール（コンベックス）,,す
燃えない,スケール（プラスチック）,,す
燃えない,スコップ,,す
燃える,寿司おけ（木・竹製）,,す
燃えない,寿司おけ（木・竹製以外）,,す
燃える,すし巻き（巻きす）,,す
燃えない,すずり,,す
燃える,すだれ（木・竹製）,,す
燃えない,すだれ（木・竹製以外）,,す
燃えない,スタンド（卓上電気スタンド）,コードは切って「硬質ごみ」へ,す
燃えない,スタンプ台,,す
特殊・硬質,スチールホイール（タイヤは除く）,,す
燃える,ズック（スニーカー）,,す
燃える,ステッカー,,す
燃えない,ストーブ,灯油を抜く　コードは切って「硬質ごみ」へ,す
燃えない,ストーブガード,,す
燃えない,ストーブ台,,す
燃える,ストッキング,,す
燃えない,ストック（登山用）,,す
燃える,ストロー,,す
燃える,スニーカー,,す
燃えない,スノースコップ,,す
燃える,すのこ（木・竹製）,４０㎝角以下のもの又はその寸法に切ったもの,す
燃えない,すのこ（木・竹製以外）,１ｍ角以下のもの又はその寸法に切ったもの,す
燃えない,スノッパー,,す
燃える,スパイクシューズ,,す
燃える,巣箱（木製）,,す
燃えない,巣箱（木製以外）,,す
燃える,スパッツ,,す
燃えない,スピーカー,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの　コードは切って「硬質ごみ」へ,す
燃えない,スプーン,,す
燃えない,スプリンクラー,,す
燃える,スポーツシューズ,,す
燃える,スポーツバッグ,,す
燃える,ズボン,,す
燃える,スポンジ,,す
燃える,スポンジマット（寝具）,４０㎝角以下のもの又はその寸法に切ったもの,す
燃えない,ズボンプレッサー,コードは切って「硬質ごみ」へ,す
燃えない,炭焼きコンロ,,す
燃えない,スライサー,,す
燃える,すりこぎ棒,,す
燃える,スリッパ,,す
燃えない,すり鉢,,す
燃える,生花,,せ
燃えない,製氷皿,,せ
燃える,生理用ナプキン,,せ
燃える,せいろ（木・竹製）,,せ
燃えない,せいろ（木・竹製以外）,,せ
燃える,セーター,,せ
燃える,セーム皮,,せ
燃える,石けん,,せ
古紙・古衣類,石けん箱（紙箱）,（その他の紙）,せ
燃えない,石膏,,せ
燃えない,石膏ボード,少量に限る,せ
燃えない,接着剤容器（金属製）,中身を使い切る,せ
燃える,接着剤容器（金属製以外）,中身を使い切る,せ
燃えない,せともの類,,せ
燃える,セロハン,,せ
燃える,セロハンテープ,,せ
燃えない,栓,,せ
燃える,洗顔料容器（ラミネートチューブ製）,中身を使い切る,せ
燃えない,洗顔料容器（ラミネートチューブ製以外）,中身を使い切る,せ
燃える,線香,,せ
燃える,洗剤容器,中身を使い切る,せ
燃えない,洗車ブラシ,,せ
燃える,洗浄綿,,せ
燃える,扇子,,せ
燃えない,洗濯かご,,せ
燃える,洗濯ネット,,せ
燃えない,洗濯ばさみ,,せ
燃える,洗濯用粉石けん箱,,せ
燃える,剪定枝,少量に限る　長さ４０㎝太さ８㎝以下のもの又ははその寸法に切ったもの,せ
燃えない,剪定バサミ,,せ
燃えない,栓抜き,,せ
燃えない,扇風機,コードは切って「硬質ごみ」へ,せ
燃えない,洗面器,,せ
燃える,造花,,そ
燃えない,双眼鏡,,そ
燃える,雑巾,,そ
燃えない,掃除機,コードは切って「硬質ごみ」へ,そ
燃える,掃除機用ごみパック,,そ
燃える,ぞうり,,そ
燃えない,ソケット,コードは切って「硬質ごみ」へ,そ
燃えない,そり,,そ
燃える,そろばん,,そ
特殊・硬質,体温計（水銀式）,,た
燃えない,体温計（デジタル式）,,た
燃えない,太鼓,縦、横、高さの合計が１ｍ以下又は重さ１０㎏以下のもの,た
燃えない,体脂肪計,,た
